product,months,country,sub country,area,value
Product 1,Jan,les Escaldes,Andorra,Escaldes-Engordany,31927.08358548695
Product 1,Jan,Andorra la Vella,Andorra,Andorra la Vella,41696.96639379082
Product 1,Jan,Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn,27112.712025379402
Product 1,Jan,Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah,23912.85743425623
Product 1,Jan,Khawr Fakkān,United Arab Emirates,Ash Shāriqah,20077.262747679488
Product 1,Jan,Dubai,United Arab Emirates,Dubai,28312.566000257968
Product 1,Jan,Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,17835.736331586973
Product 1,Jan,Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,38478.50334620202
Product 1,Jan,Sharjah,United Arab Emirates,Ash Shāriqah,18879.141146642403
Product 1,Jan,Ar Ruways,United Arab Emirates,Abu Dhabi,40294.8534314397
Product 1,Jan,Al Fujayrah,United Arab Emirates,Al Fujayrah,22573.869959844535
Product 1,Jan,Al Ain,United Arab Emirates,Abu Dhabi,15321.238150952344
Product 1,Jan,Ajman,United Arab Emirates,Ajman,14253.457585939504
Product 1,Jan,Adh Dhayd,United Arab Emirates,Ash Shāriqah,27429.802143071065
Product 1,Jan,Abu Dhabi,United Arab Emirates,Abu Dhabi,45655.882143638824
Product 1,Jan,Zaranj,Afghanistan,Nīmrūz,18524.97708539416
Product 1,Jan,Taloqan,Afghanistan,Takhār,36218.3938075202
Product 1,Jan,Shīnḏanḏ,Afghanistan,Herat,26448.025631957367
Product 1,Jan,Shibirghān,Afghanistan,Jowzjān,28981.39592309012
Product 1,Jan,Shahrak,Afghanistan,Ghowr,36683.089007740185
Product 1,Jan,Sar-e Pul,Afghanistan,Sar-e Pol,44177.19676371122
Product 1,Jan,Sang-e Chārak,Afghanistan,Sar-e Pol,42426.734655312335
Product 1,Jan,Aībak,Afghanistan,Samangān,12717.417101738829
Product 1,Jan,Rustāq,Afghanistan,Takhār,27190.343053363835
Product 1,Jan,Qarqīn,Afghanistan,Jowzjān,44286.14859051219
Product 1,Jan,Qarāwul,Afghanistan,Kunduz,22540.640173695374
Product 1,Jan,Pul-e Khumrī,Afghanistan,Wilāyat-e Baghlān,19923.928177467864
Product 1,Jan,Paghmān,Afghanistan,Kabul,11777.4721162841
Product 1,Jan,Nahrīn,Afghanistan,Wilāyat-e Baghlān,25755.522832242805
Product 1,Jan,Maymana,Afghanistan,Faryab,10971.635970336742
Product 1,Jan,Mehtar Lām,Afghanistan,Laghmān,40004.562634789516
Product 1,Jan,Mazār-e Sharīf,Afghanistan,Balkh,35893.96762149249
Product 1,Jan,Lashkar Gāh,Afghanistan,Helmand,48627.84221794915
Product 1,Jan,Kushk,Afghanistan,Herat,10568.329965979792
Product 1,Jan,Kunduz,Afghanistan,Kunduz,39646.12627479238
Product 1,Jan,Khōst,Afghanistan,Khowst,24245.00408454751
Product 1,Jan,Khulm,Afghanistan,Balkh,16587.38830260501
Product 1,Jan,Khāsh,Afghanistan,Nīmrūz,34431.57110855784
Product 1,Jan,Khanabad,Afghanistan,Kunduz,31753.364429760928
Product 1,Jan,Karukh,Afghanistan,Herat,40089.92581017886
Product 1,Jan,Kandahār,Afghanistan,Kandahār,25489.5033971827
Product 1,Jan,Kabul,Afghanistan,Kabul,26179.76655672465
Product 1,Jan,Jalālābād,Afghanistan,Nangarhār,37400.27149611379
Product 1,Jan,Jabal os Saraj,Afghanistan,Parvān,25447.98808205133
Product 1,Jan,Herāt,Afghanistan,Herat,39727.95596886429
Product 1,Jan,Ghormach,Afghanistan,Badghis,34358.66962234964
